H2_s1,H2_s2,H2_s3,P_s1,P_s2,P_s3,SOH_fluct,SOH_ramping,SOH_run,abs_delta_P_s1,abs_delta_P_s2,abs_delta_P_s3,delta_P_s1,delta_P_s2,delta_P_s3,dir_s1,dir_s2,dir_s3,setpoint_s1,setpoint_s2,setpoint_s3,z1_OFF,z1_on,z1_ramping,z2_OFF,z2_on,z2_ramping,z3_OFF,z3_on,z3_ramping
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,362.76581868527336,0.0,0.0,1.6296296207475993,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,1.6296296207475993,0.0,0.0,1.6296296207475993,0.0,0.0,0.0,7.580584970227288,7.580584970227288,72.55316373705467,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0,1.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,1.6296296207475993,0.0,0.0,-1.6296296207475993,1.0,0.0,1.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
323.3884986120654,37.90292485113644,37.90292485113644,1.4320987595907637,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,1.4320987595907637,0.0,0.0,1.4320987595907637,0.0,0.0,0.0,0.0,0.0,64.67769972241308,7.580584970227288,7.580584970227288,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,1.4320987595907637,0.0,0.0,-1.4320987595907637,0.0,0.0,1.0,0.0,1.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.90292485113644,37.90292485113644,37.90292485113644,0.0,0.0,0.0,8992.823109700541,97.0000005,8996.400425704946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580584970227288,7.580584970227288,7.580584970227288,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
